Name,Description,GoLive,Days
Cofound.it,Startup platform,"Jun 07, 2017",237 days ago
Patientory,Medical records management,"May 31, 2017",244 days ago
Embermine,Content management platform,"May 05, 2017",270 days ago
Exscudo,Merchant platform,"Apr 25, 2017",280 days ago
EncryptoTel,PBX-messenger,"Apr 24, 2017",281 days ago
Adel,Business incubator,"May 01, 2017",274 days ago
Mysterium Network,VPN service,"May 30, 2017",245 days ago
Storj,Decentralized cloud storage,"May 19, 2017",256 days ago
iEx.ec,Decentralized сloud сomputing,"Apr 19, 2017",286 days ago
Bankera,Banking for the Blockchain era,"Nov 27, 2017",64 days ago
